days_before,participants,leaders
45,0,69
44,0,79
43,0,91
42,0,102
41,32,107
40,50,124
39,56,127
38,66,130
37,77,132
36,80,137
35,83,179
34,91,193
33,101,198
32,118,202
31,132,206
30,139,206
29,144,206
28,152,206
27,169,206
26,177,206
25,237,206
24,249,206
23,266,206
22,271,206
21,283,206
20,347,206
19,378,206
18,408,206
17,430,206
16,457,206
15,475,206
14,487,206
13,530,206
12,609,206
11,642,206
10,681,206
9,755,206
8,780,206
7,812,206
6,865,206
5,921,206
4,1018,206
3,1060,206
2,1153,206
1,1200,206
0,1205,206
